**************************************
          TABELA DE SIMBOLOS          
**************************************

LEXEMA		TOKEN		POSICAO
int		Type		(3, 1), (2, 1), (1, 1)
c		ID		(1, 5)
=		Keyword		(11, 14), (10, 14), (3, 11), (2, 7), (1, 7)
a		ID		(9, 1), (2, 9), (1, 9)
+		SumOP		(1, 11)
b		ID		(2, 13), (1, 13)
;		Keyword		(11, 21), (10, 20), (9, 6), (7, 1), (5, 9), (4, 9), (3, 15), (2, 14), (1, 14)
d		ID		(2, 5)
-		SumOP		(2, 11)
teste		ID		(3, 5)
20		Int		(3, 13)
return		Keyword		(4, 1)
0		Int		(4, 8)
reto		ID		(5, 1)
*		MultOP		(5, 5)
rno		ID		(5, 6)
>		CompOP		(9, 3)
9		Int		(9, 5)
bool		Type		(11, 1), (10, 1)
is2Even		ID		(10, 6)
true		Bool		(10, 16)
is4Even		ID		(11, 6)
false		Bool		(11, 16)
}		Keyword		(12, 1)

***************************************
